file,label,p_fake_overall
1272-128104-0000.flac,Real,0.934994
1272-128104-0001.flac,Real,0.555516
1272-128104-0002.flac,Real,0.979941
1272-128104-0003.flac,Real,0.980865
1272-128104-0004.flac,Real,0.973603
1272-128104-0005.flac,Real,0.974147
1272-128104-0006.flac,Real,0.967402
1272-128104-0007.flac,Real,0.979849
1272-128104-0008.flac,Real,0.915180
1272-128104-0009.flac,Real,0.977970
1272-128104-0010.flac,Real,0.982596
1272-128104-0011.flac,Real,0.981092
tts_Albert.aiff,Fake,0.980661
tts_Eddy__Английский__США__.aiff,Fake,0.986019
tts_Flo__Английский__США__.aiff,Fake,0.987324
tts_Grandpa__Английский__США__.aiff,Fake,0.986648
tts_Kathy.aiff,Fake,0.970227
tts_Samantha.aiff,Fake,0.973066
